time,price
1682983200000,1830.82000000
1682983500000,1829.56000000
1682983800000,1830.22000000
1682984100000,1830.65000000
1682984400000,1830.66000000
1682984700000,1830.01000000
1682985000000,1831.01000000
1682985300000,1830.34000000
1682985600000,1830.73000000
1682985900000,1829.12000000
1682986200000,1831.68000000
1682986500000,1827.76000000
1682986800000,1828.55000000
1682987100000,1828.49000000
1682987400000,1834.68000000
1682987700000,1831.24000000
1682988000000,1833.61000000
1682988300000,1835.96000000
1682988600000,1834.29000000
1682988900000,1834.00000000
1682989200000,1832.79000000
1682989500000,1832.81000000
1682989800000,1831.26000000
1682990100000,1833.56000000
1682990400000,1832.50000000
1682990700000,1831.84000000
1682991000000,1833.03000000
1682991300000,1833.26000000
1682991600000,1834.20000000
1682991900000,1833.85000000
1682992200000,1828.71000000
1682992500000,1825.68000000
1682992800000,1826.19000000
1682993100000,1826.15000000
1682993400000,1826.70000000
1682993700000,1827.03000000
1682994000000,1828.87000000
1682994300000,1828.54000000
1682994600000,1824.33000000
1682994900000,1826.05000000
1682995200000,1825.40000000
1682995500000,1826.38000000
1682995800000,1827.77000000
1682996100000,1827.92000000
1682996400000,1828.92000000
1682996700000,1828.85000000
1682997000000,1828.39000000
1682997300000,1827.64000000
1682997600000,1825.78000000
1682997900000,1826.01000000
1682998200000,1825.24000000
1682998500000,1826.63000000
1682998800000,1829.13000000
1682999100000,1826.61000000
1682999400000,1828.91000000
1682999700000,1830.13000000
1683000000000,1830.66000000
1683000300000,1830.99000000
1683000600000,1831.30000000
1683000900000,1829.83000000
1683001200000,1828.85000000
1683001500000,1827.99000000
1683001800000,1827.77000000
1683002100000,1827.23000000
1683002400000,1828.43000000
1683002700000,1828.34000000
1683003000000,1827.20000000
1683003300000,1825.98000000
1683003600000,1825.66000000
1683003900000,1826.82000000
1683004200000,1827.75000000
1683004500000,1827.79000000
1683004800000,1827.36000000
1683005100000,1828.38000000
1683005400000,1827.45000000
1683005700000,1827.99000000
1683006000000,1827.23000000
1683006300000,1828.99000000
1683006600000,1828.89000000
1683006900000,1829.60000000
1683007200000,1829.17000000
1683007500000,1829.24000000
1683007800000,1829.99000000
1683008100000,1830.59000000
1683008400000,1828.81000000
1683008700000,1826.51000000
1683009000000,1827.15000000
1683009300000,1827.02000000
1683009600000,1827.58000000
1683009900000,1828.20000000
1683010200000,1828.91000000
1683010500000,1829.08000000
1683010800000,1828.71000000
1683011100000,1829.46000000
1683011400000,1830.58000000
1683011700000,1833.77000000
1683012000000,1833.73000000
1683012300000,1835.08000000
1683012600000,1834.65000000
1683012900000,1832.34000000
1683013200000,1832.90000000
1683013500000,1834.19000000
1683013800000,1833.56000000
1683014100000,1834.34000000
1683014400000,1835.68000000
1683014700000,1836.37000000
1683015000000,1838.92000000
1683015300000,1837.95000000
1683015600000,1837.53000000
1683015900000,1836.60000000
1683016200000,1835.95000000
1683016500000,1834.95000000
1683016800000,1833.89000000
1683017100000,1833.65000000
1683017400000,1833.82000000
1683017700000,1832.38000000
1683018000000,1832.30000000
1683018300000,1831.52000000
1683018600000,1830.73000000
1683018900000,1830.40000000
1683019200000,1830.75000000
1683019500000,1827.54000000
1683019800000,1827.99000000
1683020100000,1828.96000000
1683020400000,1829.57000000
1683020700000,1829.25000000
1683021000000,1828.35000000
1683021300000,1827.97000000
1683021600000,1828.48000000
1683021900000,1827.32000000
1683022200000,1828.61000000
1683022500000,1828.38000000
1683022800000,1827.66000000
1683023100000,1829.37000000
1683023400000,1827.06000000
1683023700000,1828.48000000
1683024000000,1828.28000000
1683024300000,1830.27000000
1683024600000,1831.21000000
1683024900000,1830.13000000
1683025200000,1829.44000000
1683025500000,1829.00000000
1683025800000,1830.49000000
1683026100000,1830.86000000
1683026400000,1831.28000000
1683026700000,1833.40000000
1683027000000,1833.09000000
1683027300000,1832.52000000
1683027600000,1831.63000000
1683027900000,1832.11000000
1683028200000,1831.56000000
1683028500000,1832.00000000
1683028800000,1833.56000000
1683029100000,1832.89000000
1683029400000,1832.09000000
1683029700000,1832.05000000
1683030000000,1831.08000000
1683030300000,1829.41000000
1683030600000,1829.52000000
1683030900000,1831.68000000
1683031200000,1834.92000000
1683031500000,1838.59000000
1683031800000,1832.20000000
1683032100000,1832.68000000
1683032400000,1832.07000000
1683032700000,1835.36000000
1683033000000,1830.25000000
1683033300000,1829.89000000
1683033600000,1830.48000000
1683033900000,1831.65000000
1683034200000,1830.12000000
1683034500000,1831.87000000
1683034800000,1828.06000000
1683035100000,1829.29000000
1683035400000,1830.01000000
1683035700000,1831.07000000
1683036000000,1828.79000000
1683036300000,1828.46000000
1683036600000,1830.29000000
1683036900000,1832.29000000
1683037200000,1839.30000000
1683037500000,1845.85000000
1683037800000,1852.69000000
1683038100000,1849.62000000
1683038400000,1857.01000000
1683038700000,1860.44000000
1683039000000,1856.14000000
1683039300000,1851.18000000
1683039600000,1852.19000000
1683039900000,1848.61000000
1683040200000,1850.17000000
1683040500000,1855.94000000
1683040800000,1859.40000000
1683041100000,1855.78000000
1683041400000,1858.79000000
1683041700000,1855.04000000
1683042000000,1863.19000000
1683042300000,1862.82000000
1683042600000,1861.15000000
1683042900000,1860.71000000
1683043200000,1858.80000000
1683043500000,1860.27000000
1683043800000,1858.83000000
1683044100000,1856.28000000
1683044400000,1859.17000000
1683044700000,1858.84000000
1683045000000,1861.03000000
1683045300000,1858.05000000
1683045600000,1856.59000000
1683045900000,1856.01000000
1683046200000,1853.98000000
1683046500000,1854.69000000
1683046800000,1855.04000000
1683047100000,1855.80000000
1683047400000,1859.62000000
1683047700000,1856.37000000
1683048000000,1855.40000000
1683048300000,1854.32000000
1683048600000,1856.82000000
1683048900000,1855.76000000
1683049200000,1860.05000000
1683049500000,1858.25000000
1683049800000,1860.44000000
1683050100000,1860.39000000
1683050400000,1860.78000000
1683050700000,1859.80000000
1683051000000,1864.83000000
1683051300000,1861.35000000
1683051600000,1861.56000000
1683051900000,1859.54000000
1683052200000,1862.34000000
1683052500000,1861.36000000
1683052800000,1871.02000000
1683053100000,1869.21000000
1683053400000,1871.68000000
1683053700000,1870.96000000
1683054000000,1870.65000000
1683054300000,1867.51000000
1683054600000,1873.11000000
1683054900000,1874.81000000
1683055200000,1874.03000000
1683055500000,1873.41000000
1683055800000,1875.05000000
1683056100000,1872.84000000
1683056400000,1875.21000000
1683056700000,1871.23000000
1683057000000,1869.99000000
1683057300000,1868.09000000
1683057600000,1868.37000000
1683057900000,1871.00000000
1683058200000,1869.39000000
1683058500000,1868.64000000
1683058800000,1869.99000000
1683059100000,1869.56000000
1683059400000,1871.20000000
1683059700000,1872.35000000
1683060000000,1874.01000000
1683060300000,1873.81000000
1683060600000,1870.67000000
1683060900000,1869.21000000
1683061200000,1869.45000000
1683061500000,1869.01000000
1683061800000,1868.59000000
1683062100000,1871.72000000
1683062400000,1872.32000000
1683062700000,1870.49000000
1683063000000,1870.84000000
1683063300000,1870.53000000
1683063600000,1872.59000000
1683063900000,1871.80000000
1683064200000,1872.19000000
1683064500000,1870.84000000
1683064800000,1871.61000000
1683065100000,1872.67000000
1683065400000,1875.91000000
1683065700000,1874.78000000
1683066000000,1875.10000000
1683066300000,1875.71000000
1683066600000,1876.20000000
1683066900000,1874.76000000
1683067200000,1873.93000000
1683067500000,1874.06000000
1683067800000,1873.52000000
1683068100000,1873.33000000
1683068400000,1873.93000000
1683068700000,1875.86000000
1683069000000,1875.72000000
1683069300000,1873.93000000
1683069600000,1871.81000000
1683069900000,1872.71000000
1683070200000,1870.45000000
1683070500000,1869.72000000
1683070800000,1869.28000000
1683071100000,1869.09000000
1683071400000,1869.58000000
1683071700000,1869.57000000
1683072000000,1870.09000000
1683072300000,1870.00000000
1683072600000,1868.30000000
1683072900000,1866.31000000
1683073200000,1866.35000000
1683073500000,1866.53000000
1683073800000,1868.21000000
1683074100000,1867.60000000
1683074400000,1863.96000000
1683074700000,1863.68000000
1683075000000,1864.48000000
1683075300000,1863.73000000
1683075600000,1860.05000000
1683075900000,1863.38000000
1683076200000,1861.32000000
1683076500000,1864.16000000
1683076800000,1863.18000000
1683077100000,1863.80000000
1683077400000,1863.81000000
1683077700000,1864.81000000
1683078000000,1864.39000000
1683078300000,1864.28000000
1683078600000,1862.44000000
1683078900000,1862.04000000
1683079200000,1863.80000000
1683079500000,1860.78000000
1683079800000,1858.22000000
1683080100000,1858.56000000
1683080400000,1857.69000000
1683080700000,1858.79000000
1683081000000,1860.55000000
1683081300000,1861.92000000
1683081600000,1862.26000000
1683081900000,1861.24000000
1683082200000,1862.30000000
1683082500000,1860.44000000
1683082800000,1861.17000000
1683083100000,1860.61000000
1683083400000,1860.83000000
1683083700000,1860.26000000
1683084000000,1859.92000000
1683084300000,1860.39000000
1683084600000,1861.68000000
1683084900000,1861.13000000
1683085200000,1861.00000000
1683085500000,1862.84000000
1683085800000,1862.31000000
1683086100000,1863.96000000
1683086400000,1862.67000000
1683086700000,1857.83000000
1683087000000,1859.65000000
1683087300000,1859.84000000
1683087600000,1860.73000000
1683087900000,1861.74000000
1683088200000,1862.14000000
1683088500000,1862.41000000
1683088800000,1862.21000000
1683089100000,1860.92000000
1683089400000,1861.78000000
1683089700000,1861.66000000
1683090000000,1862.77000000
1683090300000,1862.32000000
1683090600000,1862.58000000
1683090900000,1862.17000000
1683091200000,1862.37000000
1683091500000,1861.95000000
1683091800000,1861.07000000
1683092100000,1859.90000000
1683092400000,1861.68000000
1683092700000,1861.28000000
1683093000000,1861.63000000
1683093300000,1860.52000000
1683093600000,1860.44000000
1683093900000,1859.79000000
1683094200000,1860.20000000
1683094500000,1858.86000000
1683094800000,1860.49000000
1683095100000,1858.96000000
1683095400000,1860.60000000
1683095700000,1864.99000000
1683096000000,1863.00000000
1683096300000,1866.01000000
1683096600000,1866.12000000
1683096900000,1866.55000000
1683097200000,1866.00000000
1683097500000,1865.64000000
1683097800000,1864.62000000
1683098100000,1865.37000000
1683098400000,1866.14000000
1683098700000,1866.28000000
1683099000000,1867.05000000
1683099300000,1867.40000000
1683099600000,1865.29000000
1683099900000,1864.90000000
1683100200000,1864.16000000
1683100500000,1864.60000000
1683100800000,1865.20000000
1683101100000,1865.14000000
1683101400000,1863.52000000
1683101700000,1864.40000000
1683102000000,1866.05000000
1683102300000,1861.98000000
1683102600000,1869.08000000
1683102900000,1870.19000000
1683103200000,1868.60000000
1683103500000,1868.93000000
1683103800000,1869.68000000
1683104100000,1870.26000000
1683104400000,1868.47000000
1683104700000,1866.80000000
